what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064406152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064407937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064409579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064411069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064412484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064413411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064418469
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555064467171
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1555064474687
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555064475157
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555064475479
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1555064477472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064479138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064496969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064497482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064575296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064637796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064638972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064641725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555064643946
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1555064644313
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1555064657221
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1555064663506
